,LINK_SP,PRODUCT_INFO_ID,GROUP_PRODUCT_NAME,PRODUCT_CODE,NON_VAT_PRICE_1,VAT_PRICE_1,COMMISSION_1,THRESHOLD_1,NON_VAT_PRICE_2,VAT_PRICE_2,COMMISSION_2,THRESHOLD_2,NON_VAT_PRICE_3,VAT_PRICE_3,COMMISSION_3,PRODUCT_NAME,SPECIFICATION_BACKUP,RAW_PRICE,QUANTITY_SOLD
26,/input/mobile_images/2024/2/17/470/GHẾ MASSAGE MAKANO MKGM-10003.png,577790,Ghế massage daikiosan,M&EGD000214,25407300,27948030,254073,Giá trị đơn hàng > 50 triệu,25963600,28559960,519272,Giá trị đơn hàng từ 30-50 triệu,28165900,30982490,1577290.4,Ghế Massage Makano MKGM-10003,"
• Công suất: 120W 
• Kích thước sản phẩm (Dài x Rộng x Cao): 135*76*122cm 
• Trọng lượng sản phẩm: 85 Kg 
• Ứng dụng công nghệ: - Công nghệ massage 3D đỉnh cao - Công nghệ thông minh AI 4.0 - Kết hợp các bài massage Đông Y 
• Scan cơ thể: Có - để điều chỉnh vị trí massage phù hợp từng người 
• Chương trình massage: Có 6 chương trình massage tự động 
• Động tác massage: Có 6 động tác massage mô phỏng động tác của các chuyên gia massage: Xoa bóp - Lăn - Đấm - Bấm huyệt - Vỗ - Kết hợp 
• Massage bằng nhiệt sưởi ấm: Bằng sợi carbon 1 cấp độ ở hông 
• Massage không trọng lực (Zero Gravity): Có - giúp giảm trọng lực tác động lên cơ thể để massage hiệu quả hơn 
• Con lăn: Con lăn bằng Silicon điều chỉnh 5 cấp độ tự nhẹ tới mạnh theo nhu cầu của người dùng 
• Túi khí: Túi khí bằng TPU điều chỉnh 5 cường độ từ nhẹ tới mạnh theo nhu cầu người dùng 
• Dây ray: SL 130cm 
• Điều khiển: - Bảng điều khiển remote sang trọng - Bằng giọng nói tiếng Việt 
• Chức năng nghe nhạc: Loa nghe nhạc hạng sang, cao cấp thông qua Speaker và bluetooth 
• Chất liệu sản phẩm: - Da bằng chất liệu PU chống thủy phân cao cấp - Nhựa cao cấp ABS + lớp sơn bóng bảo vệ - Khung định hình bằng thép không gỉ, phủ lớp chống oxy hóa - Bộ vi mạnh điều khiển phủ lớp chống oxy hóa - Motor lõi đồng chất lượng cao... 
• Tải trọng tối đa: 100 Kg
giá: 30982490",30982490,8
22,/input/mobile_images/2024/2/17/480/GHẾ MASSAGE DAIKIOSAN DKGM-20005.png,577781,Ghế massage daikiosan,M&EGD000202,28396400,31236040,283964,Giá trị đơn hàng > 50 triệu,29018200,31920020,580364,Giá trị đơn hàng từ 30-50 triệu,31479500,34627450,1762852,Ghế massage Daikiosan DKGM-20005,"
• Công suất: 150W 
• Kích thước sản phẩm (Dài x Rộng x Cao): 127*80*117 cm 
• Trọng lượng sản phẩm: 82 Kg 
• Ứng dụng công nghệ: - Công nghệ massage 3D - Công nghệ thông minh AI 4.0 - Kết hợp các bài massage Đông Y 
• Scan cơ thể: Có - để điều chỉnh vị trí massage phù hợp từng người 
• Chương trình massage: Có 9 chương trình massage tự động chuyên sâu 3D 
• Động tác massage: Có 6 động tác massage mô phỏng động tác của các chuyên gia vật lý trị liệu: Nhào - Đấm - Nhào và gõ - Shiatsu - Tuina - Vỗ 
• Massage bằng nhiệt sưởi ấm: Massage bằng nhiệt sợi carbon 1 cấp độ tại 3 vị trí: Thắt lưng, tay, chân 
• Massage không trọng lực (Zero Gravity): Có - giúp giảm trọng lực tác động lên cơ thể để massage hiệu quả hơn 
• Con lăn: 16 Con lăn bằng silicon với 3 cấp độ 
• Túi khí: 36 Túi khí bằng TPU với 3 cường độ điều chỉnh từ nhẹ tới mạnh theo nhu cầu người dùng 
• Dây ray: SL 133 cm 
• Điều khiển: - Có bàn phím điều khiển nhanh chỗ để tay - Remote tiện lợi bằng tiếng Việt - Bằng giọng nói tiếng Việt 
• Chức năng nghe nhạc: Loa nghe nhạc hiện đại, kết nối bằng bluetooth 
• Cổng sạc: USB - giúp sạc điện thoại tiện lợi 
• Chất liệu sản phẩm: - Bên trong bằng da bằng vật liệu PU - Bên ngoài bằng nhựa bằng: Plastic - Nhựa Plastic 1 lớp + lớp sơn bóng bảo vệ chống trầy xước - Khung định hình bằng thép không gỉ, phủ lớp chống oxy hóa - Bộ vi mạnh điều khiển phủ lớp chống oxy hóa - Motor lõi đồng chất lượng cao... 
• Tải trọng tối đa: 150 Kg
giá: 34627450",34627450,8
41,/input/mobile_images/2023/12/28/713/LÒ VI SÓNG CÓ NƯỚNG BLUESTONE MOB-7716.png,509345,Lò vi sóng,M&ELVS100002,1924600,2117060,19246,Giá trị đơn hàng >10 triệu,1966700,2163370,39334,Giá trị đơn hàng từ 5-10 triệu,2133500,2346850,119476,Lò Vi Sóng Bluestone MOB-7716 có nướng 20 lít,"
• Loại lò: Lò vi sóng có nướng 
• Dung tích: 20 lít 
• Công suất vi sóng: 1270W 
• Công suất nướng: 1000W 
• Chất liệu khoang lò: Thép không gỉ 
• Thương hiệu của: Singapore 
• Sản xuất tại: Trung Quốc 
• Năm ra mắt: 2020 
• Chức năng chính: Rã đông, hâm, nấu, nướng 
• Chức năng khác: Nướng kết hợp vi sóng 
• Ngôn ngữ: Tiếng Việt 
• Bảng điều khiển: Nút vặn 
• Tiện ích: Chuông báo khi nấu xong 
• Hẹn giờ: lên tới 35 phút 
• Khoang lò: có đèn 
• Kích thước, khối lượng: Ngang 43 cm - Cao 25.7 cm - Sâu 32.7 cm - Nặng 12.5 kg 
• Kích thước khoang lò: Ngang 27.5 cm - Cao 17.5 cm - Sâu 29.1 cm
giá: 2346850",2346850,28
42,/input/mobile_images/2024/3/2/553/download.jpg,622474,"Lò vi sóng , lò nướng",M&EGD000229,,,,,,,,,,,,Nồi lẩu nướng Đa năng KALITE KL- 666 4 lít,"
• Thương hiệu: Kalite 
• Dung tích: 4 lít 
• Công suất: 1300W 
• Lòng nồi: Ceramic chống dính 
• Vỏ nồi: Thép không gỉ 
• Nắp đậy: Thép không gỉ 
• Chức năng: Nấu lẩu, chiên xào, nướng, làm bánh 
• Điều chỉnh nhiệt: Nút gạt 
• Tiện ích:+ Có tay cầm chống nóng+ Lẩu và nướng kết hợp+ Có khay nướng+ Có khuôn làm bánh+ Dây điện tháo rời 
• Chiều dài dây điện: 121 cm
giá: 1981000",1981000,8
43,/input/mobile_images/2024/3/2/1/c3b655711ddfb081e9ce.jpg,622475,"Lò vi sóng , lò nướng",M&ELN10003,2509800,2760780,25098,Giá trị đơn hàng > 20 triệu,2564800,2821280,51296,Giá trị đơn hàng từ 10-20 triệu,2782400,3060640,155814.4,Lò Nướng Bluestone Eob-7567,"Loại lò nướng:Lò nướng thùng 
Dung tích:45 lít 
Công suất:2000W 
Hẹn giờ:Hẹn giờ lên tới 60 phút 
Nhiệt độ:100 - 230ºC 
Bảng điều khiển:Nút vặn 
Chất liệu:Cửa kính chịu nhiệt Khoang lò bằng thép không gỉ Vỏ bằng inox phủ sơn tĩnh điện 
Công nghệ làm nóng:Làm nóng bằng thanh nhiệt 
Chức năng chính:Nướng thực phẩm Chế độ nướng:Nướng dưới có quạt đối lưu Nướng trên: Nướng trên có quạt đối lưu Nướng trên có xiên quay Nướng trên có xiên quay và quạt đối lưu Nướng thanh nhiệt trên dưới Nướng trên dưới có nướng xiên quay và quạt đối lưuNướng trên dưới có quạt đối lưu 
Tiện ích: Nướng xiên quayQuạt đối lưu Đèn trong khoang lò
Kích thước, khối lượng:Ngang 56 cm - Cao 34.5 cm - Sâu 40.5 cm - Nặng 12.88 kgKích thước khoang lò:Ngang 40.5 cm - Cao 33 cm - Sâu 25.5 cm
giá: 3606640",3606640,8
48,/input/mobile_images/2024/2/18/912/Máy giặt Electrolux lồng ngang 10kg màu trắng EWF1024D3WB.png,571603,Máy Giặt,128004000005,9757400,10733140,97574,Giá trị đơn hàng > 80 triệu,9971100,10968210,199422,Giá trị đơn hàng từ 50-80 triệu,10816800,11898480,605740.8,Máy giặt Electrolux lồng ngang 10kg màu trắng EWF1024D3WB,"Loại máy giặt: Cửa trước 
Lồng giặt: Lồng ngang 
Khối lượng giặt: 10 Kg 
Số người sử dụng: Từ 5 - 7 người (9.5 - 10 kg) 
Kiểu động cơ: Truyền động gián tiếp (dây Curoa) 
Tốc độ quay vắt tối đa: 1200 vòng/phút 
Chất liệu vỏ máy: Thép không gỉ 
Chất liệu nắp máy: Nhựa ABS + Gỗ Sản xuất tại: Thái Lan 
Thời gian bảo hành động cơ: 10 năm 
Hiệu suất sử dụng điện: 21.6 Wh/kg 
Loại Inverter: Công nghệ EcoInverter 
Chương trình giặt: Đồ trải giường, Giặt nhanh , Giặt tiết kiệm, Vắt, Vệ sinh lồng giặt, Xả + vắt, Đồ cotton, Đồ hỗn hợp, Đồ mỏng, Đồ trẻ sơ sinh 
Công nghệ giặt: Công nghệ giặt hơi nước Hygienic Care,Giặt nước nóng 
Bảng điều khiển: Song ngữ Anh - Việt có nút xoay, cảm ứng và màn hình hiển thị 
Tiện ích: Chỉnh số vòng vắt, Giặt sơ, Khóa trẻ em, Thêm đồ trong khi giặt, Trì hoãn kết thúc, Xả thêm 
Kích thước, khối lượng: Cao 85 cm - Ngang 60 cm - Sâu 64 cm - Nặng 72 kg Chiều dài ống cấp nước: 134 cmChiều dài ống thoát nước: 222 cm
giá: 11898480",11898480,9
44,/input/mobile_images/2024/1/23/223/Máy giặt Electrolux UltimateCare 300 Inverter 10 kg EWF1024M3SB.jpg,571590,Máy Giặt,128004000002,10454800,11500280,104548,Giá trị đơn hàng > 80 triệu,10683800,11752180,213676,Giá trị đơn hàng từ 50-80 triệu,11590000,12749000,649040,Máy giặt Electrolux UltimateCare 300 Inverter 10 kg EWF1024M3SB,"Loại máy giặt: Cửa trước 
Lồng giặt: Lồng ngang 
Khối lượng giặt: 10 Kg 
Số người sử dụng: Từ 5 - 7 người (9.5 - 10 kg) 
Kiểu động cơ: Truyền động gián tiếp (dây Curoa) 
Tốc độ quay vắt tối đa: 1200 vòng/phút 
Chất liệu lồng giặt: Thép không gỉ 
Chất liệu vỏ máy: Thép không gỉ 
Chất liệu nắp máy: Nhựa ABS + Gỗ Sản xuất tại: Thái Lan 
Thời gian bảo hành động cơ: 10 năm 
Hiệu suất sử dụng điện: 21.8 Wh/kg 
Loại Inverter: Công nghệ EcoInverter 
Chương trình giặt: Đồ trải giường, Giặt nhanh 15 phút, Giặt nhanh 39 phút, Vắt, Vệ sinh lồng giặt, Xả + vắt, Đồ cotton, Đồ hỗn hợp, Đồ mỏng, Đồ trẻ sơ sinh Công nghệ giặt: Công nghệ Hygienic Care giúp loại bỏ vi khuẩnGiặt nước nóng 
Bảng điều khiển: Song ngữ Anh - Việt 
Tiện ích: Chỉnh số vòng vắt, Giặt sơ, Khóa trẻ em,Thêm đồ trong khi giặt, Trì hoãn kết thúc, Xả thêm 
Kích thước, khối lượng: Cao 85 cm - Ngang 60 cm - Sâu 70 cm - Nặng 72 kg Chiều dài ống cấp nước: 133 cm Chiều dài ống thoát nước: 218 cm
giá: 12749000",12749000,11
45,/input/mobile_images/2024/2/18/140/Máy giặt Aqua cửa trên - 8Kg AQW-KS80GT.S.png,571604,Máy Giặt,128003000001,3875900,4263490,38759,Giá trị đơn hàng > 40triệu,3960700,4356770,79214,Giá trị đơn hàng từ 20-40 triệu,4296700,4726370,240615.2,Máy giặt Aqua cửa trên - 8Kg AQW-KS80GT.S,"Cửa trên - Lồng đứng 
Khối lượng giặt: 8 Kg 
Kiểu động cơ: Truyền động gián tiếp (dây Curoa) 
Tốc độ quay vắt tối đa: 775 vòng/ phút 
Chất liệu lồng giặt: Thép không gỉ 
Chất liệu vỏ máy: Kim loại sơn tĩnh điện 
Chất liệu nắp máy: Nhựa ABS + Kính 
Thời gian bảo hành động cơ:2 năm 
Hiệu suất sử dụng điện: 11.3 Wh/kg 
Mâm giặt kháng khuẩn ABT 
Bảng điều khiển: Song ngữ Anh - Việt có nút nhấn Khóa trẻ em 
Tự khởi động lại khi có điện 
Van sử dụng mực nước thấp 
Cao 93 cm - Ngang 52.7 cm - Sâu 56.9 cm - Nặng 30.1 kg
giá: 4726370",4726370,8
46,/input/mobile_images/2024/2/18/773/Máy Giặt Aqua 9 Kg  AQW-F91GT.S.png,571582,Máy Giặt,M&EGD000250,,,,,,,,,,,,Máy Giặt Aqua 9 Kg AQW-F91GT.S,"
• Loại máy giặt: Cửa trên 
• Lồng giặt: Lồng đứng 
• Khối lượng giặt: 9 Kg 
• Số người sử dụng: Từ 3 - 5 người 
• Kiểu động cơ: Truyền động gián tiếp (dây Curoa) 
• Tốc độ quay vắt tối đa: 700 vòng/phút 
• Chất liệu lồng giặt: Thép không gỉ 
• Chất liệu vỏ máy: Kim loại sơn tĩnh điện 
• Chất liệu nắp máy: Kính chịu lực 
• Hiệu suất sử dụng điện: 10.9 Wh/kg 
• Chương trình giặt: Chăn mền, Vắt cực khô, Giặt mạnh, Giặt ngâm, Giặt nhanh, Giặt nhẹ, Giặt thơm, Giặt tiêu chuẩn 
• Công nghệ giặt: Diệt khuẩn khử mùi Nano Ag+ Giặt nhiều luồng nước phun MultiJet 
• Bảng điều khiển: Song ngữ Anh - Việt 
• Tiện ích: Hẹn giờ giặt, Khóa trẻ em, Van sử dụng mực nước thấp, Vệ sinh lồng giặt 
• Kích thước, khối lượng: Cao 100.6 cm - Ngang 53.3 cm - Sâu 58 cm - Nặng 36 kg 
• Chiều dài ống cấp nước: 128 cm 
• Chiều dài ống thoát nước: 77 cm
giá: 5759050",5759050,11
47,/input/mobile_images/2024/2/18/257/Máy giặt Aqua cửa trên - 10Kg AQW-U100FT.BK.png,571605,Máy Giặt,128003000002,,,,,,,,,,,,Máy giặt Aqua cửa trên - 10Kg AQW-U100FT.BK,"Loại máy giặt: Lồng đứng 
Động Cơ : Curoa 
Khối lượng giặt: 10 kg 
Lồng GiặtThép: không gỉ 
Khử mùi diệt khuẩn 
Khóa trẻ em 
Màn hình hiển thị thời gian 
Nắp máy,Nắp kính cường lực tràn viền 
Dòng điện : 220v/50Hz 
Tốc độ vắt: 700 vòng/phút 
Kích thước (R*S*C)560 x 630 x 1006 
Trọng lượng: 36,5 kg 
Sản xuất tại Việt Nam 
Bảo hành: 24 Tháng
giá: 6074970",6074970,11
49,/input/mobile_images/2024/1/23/874/Máy giặt Electrolux UltimateCare 500 Inverter EWF1024P5SB.jpg,571591,Máy Giặt,128004000003,11849800,13034780,118498,Giá trị đơn hàng > 80 triệu,12109200,13320120,242184,Giá trị đơn hàng từ 50-80 triệu,13136400,14450040,735638.4,Máy giặt Electrolux UltimateCare 500 Inverter EWF1024P5SB,"Loại máy giặt: Cửa trước 
Lồng giặt: Lồng ngang 
Khối lượng giặt: 10 Kg 
Số người sử dụng: Từ 5 - 7 người 
Kiểu động cơ: Truyền động gián tiếp (dây Curoa) 
Tốc độ quay vắt tối đa: 1200 vòng/phút 
Chất liệu lồng giặt: Thép không gỉ 
Chất liệu vỏ máy: Kim loại sơn tĩnh điện 
Chất liệu nắp máy: Nhựa + Kính cường lực, thép 
Sản xuất tại: Thái Lan 
Thời gian bảo hành động cơ: 10 năm 
Hiệu suất sử dụng điện: 16.5 Wh/kg 
Loại Inverter: Công nghệ EcoInverter
Chương trình giặt: Chế độ yêu thích, Giặt 60 phút, Đồ trải giường, Giặt nhanh 15 phút, Giặt nhanh 39 phút, Giặt tiết kiệm, Vắt, Vệ sinh lồng giặt, Xả + vắt, Đồ cotton, Đồ hỗn hợp, Đồ len, Đồ mỏng, Đồ thể thao, Đồ trẻ em Công nghệ giặt: Công nghệ giặt hơi nước Hygienic CareCông nghệ UltraMix hoà tan nước giặt hiệu quả 
Bảng điều khiển: Song ngữ Anh - Việt có nút xoay, cảm ứng và màn hình hiển thị
Tiện ích: Chỉnh nhiệt độ nước, Chỉnh số vòng vắt, Khóa trẻ em, Lưu chương trình yêu thích, Quản lý thời gian, Thêm quần áo khi máy đang giặt, Trì hoãn kết thúc, Xả thêm, Chế độ giặt sơ tự động 
Kích thước, khối lượng: Cao 85 cm - Ngang 60 cm - Sâu 65.5 cm - Nặng 76 kg Chiều dài ống cấp nước: 134 cmChiều dài ống thoát nước: 209 cm
giá: 14450040",14450040,8
50,/input/mobile_images/2024/1/23/601/Máy sấy quần áo Electrolux 8.5 kg EDV854J3WB Trắng.jpg,571583,Máy Sấy,M&EGD000249,8586200,9444820,85862,Giá trị đơn hàng > 80 triệu,8774200,9651620,175484,Giá trị đơn hàng từ 50-80 triệu,9518400,10470240,533030.4,Máy sấy quần áo Electrolux 8.5 kg EDV854J3WB Trắng,"
• Màu sắc: Trắng 
• Xuất xứ: Thái Lan 
• Năm ra mắt: 2022 
• Thời gian bảo hành: 24 Tháng 
• Công nghệ Inverter: Không có 
• Loại máy sấy: Cửa ngang 
• Khối lượng sấy: 8.5Kg 
• Công suất: Công suất tiêu thụ 2250 W 
• Kiểu sấy: Sấy thông hơi 
• Tốc độ sấy: 3 mức 
• Chất liệu lồng sấy: Thép không gỉ 
• Số chương trình: 12 chương trình 
• Nhiệt độ sấy: tăng cường, trung bình, sấy gió 
• Loại điều khiển: Núm vặn và nút cảm ứng 
• Màn hình hiển thị: Điện tử 
• Hẹn giờ: Có 
• Khoá an toàn: Có 
• Ngôn ngữ hiển thị: Tiếng Việt 
• Khối lượng sản phẩm (kg): 32.5 kg 
• Kích thước sản phẩm: 850 x 596,5 x 625 mm
giá: 10470240",10470240,6
51,/input/mobile_images/2024/2/22/179/MÁY LỌC KHÔNG KHÍ DAIKIN MC30VVM - H (1).png,608086,Máy lọc không khí,GDGDU000039,,,,,,,,,,,,Máy lọc không khí Daikin MC30VVM - H,"Model: MC30VVM 
Diện tích sử dụng: 20 - 25m² 
Lưu lượng gió: 180 m³/h 
Công suất: 63W 
Độ ồn: 22/19 dB(A) 
Kích thước: 550 x 300 x 200 mm 
Trọng lượng: 12.5 kg
giá: 3504000",3504000,15
52,/input/mobile_images/2024/2/18/149/MÁY LỌC KHÔNG KHÍ AP43STRE.png,577846,Máy lọc không khí,M&EDM000005,,,,,,,,,,,,Máy lọc không khí Carrier AP43STRE 30W,"
• Diện tích phòng sử dụng: Từ 28 - 43 m2 
• Tốc độ làm sạch không khí: 360 m3/h 
• Công suất: 30 W 
• Điện thế: 220 V - 240 V 
• Các cấp độ quạt: 1/2/3/4 
• Độ ồn: 27 - 60 dB 
• Cảm biến bụi mịn: PM2.5 
• Bộ lọc: Lọc thô - Lọc HEPA - Active Carbon 
• Tiện ích: - Chức năng Auto/Sleep Mode/Hẹn giờ - Chức năng khóa trẻ em - Chức năng báo thay bộ lọc 
• Bảng điều khiển: Điều khiển cảm ứng; Hiển thị chất lượng không khí trên màn hình LED 
• Kích thước: 410 x 210 x 628 mm 
• Trọng lượng: 7.2 Kg
giá: 3663220",3663220,14
53,/input/mobile_images/2024/2/18/534/MÁY LỌC KHÔNG KHÍ DAIKIN MC40UVM6.png,577850,Máy lọc không khí,M&EGD000036,,,,,,,,,,,,Máy lọc không khí Daikin MC40UVM6,"
• Diện tích: 31m2 
• Công suất: 4m3/ phút 
• Tính năng: Tinh lọc không khí với Công nghệ Streamer và phin lọc tĩnh điện Hepa. 
• Đèn cảm biến: “phát hiện gấp 3” 
• Thiết kế: hình tháp, tinh tế và nhỏ gọn. 
• 3 chế độ hoạt động: Auto, Econo, Pollen 
• Độ ồn tối đa: 49dB
giá: 5366350",5366350,14
54,/input/mobile_images/2024/2/18/297/MÁY LỌC KHÔNG KHÍ AP61UVRE.png,577848,Máy lọc không khí,M&EDM000006,,,,,,,,,,,,Máy lọc không khí Carrier AP61UVRE 60W,"
• Diện tích hiệu quả: Từ 41-61 m2 
• Tốc độ làm sạch: 510 m3/h 
• Công suất: 60W 
• Các cấp độ quạt: 1/2/3/4 
• Độ ồn: 28 – 65 dB 
• Cảm biến bụi mịn: PM2.5 
• Bộ lọc: Lọc thô; lọc HEPA; active Carbon 
• Tiện ích: - Chức năng Ionizer/ Anion - Chức năng UV Light + Màn lọc Photocatalyst - Chức năng Auto/Sleep Mode/Hẹn giờ - Chức năng khóa trẻ em - Chức năng báo thay bộ lọc 
• Bảng điều khiển: Điều khiển cảm ứng; Hiển thị chất lượng không khí trên màn hình LED 
• Kích thước: 460 x 230 x 710 mm
giá: 6089160",6089160,15
55,/input/mobile_images/2024/3/2/814/c828343926978bc9d286.jpg,622477,"Máy lọc không khí, máy hút bụi",M&EMX100059,2677500,2945250,26775,Giá trị đơn hàng > 20 triệu,2736200,3009820,54724,Giá trị đơn hàng từ 10-20 triệu,2968200,3265020,166219.2,Máy Hút Bụi Bluestone Vcb-8067,"Công suất hoạt động:1800W 
Công suất hút bụi:330W 
Bộ lọc:Bộ lọc HEPA 
Độ ồn:83 dB 
Tiện ích:Dây điện tự thu gọn 
Điều chỉnh sức hút bụi 
Công nghệ:Công nghệ hút xoáy Cyclonic 
Đầu hút bụi:Đầu hút bàn chải,Đầu hút khe,Đầu hút sàn.Đầu hút thảm
giá: 3265020",3265020,6
61,/input/mobile_images/2024/2/18/425/Máy lọc nước Pentair Everpure H104.png,577858,Máy lọc nước,M&EGD000115,,,,,,,,,,,,Máy lọc nước Pentair Everpure H104,"
• Thương hiệu: Pentair 
• Xuất xứ lõi lọc chính: USA 
• Công suất: 3.785 Lít 
• Tốc độ chảy: 1.9 Lít/phút 
• Công nghệ: Everpure 
• Không sử dụng điện, không có nước thải, không bình chứa
giá: 3152050",3152050,22
60,/input/mobile_images/2024/1/23/955/M&EGD000219.jpg,571599,Máy lọc nước,M&EGD000219,2979900,3277890,29799,Giá trị đơn hàng > 20 triệu,3047900,3352690,60958,Giá trị đơn hàng từ 10-20 triệu,3306500,3637150,185164,MLN Empire Công nghệ 4.0 - 10 cấp lọc EPML036,"
• Thương hiệu: EMPIRE 
• Hệ thống lọc: 10 cấp 
• Công nghệ lọc: RO Dupon nhập khẩu từ Mỹ giúp nước sau lọc đạt chuẩn tinh khiết và giảm thiểu nước thải ~ 40% 
• Công suất lọc: 10-15 lít / Giờ 
• Bổ sung: các lõi lọc tạo khoáng giúp nước ngon, ngọt hơn đặc biệt lõi lọc ORP giúp tăng oxi hóa và giải độc tố trong cơ thể chậm lão hóa 
• Công suất máy lọc: 36w
giá: 3637150",3637150,8
59,/input/mobile_images/2024/2/18/4/MÁY LỌC NƯỚC EMPIRE EPML066 (1).png,577837,Máy lọc nước,M&EGD000221,5787000,6365700,57870,Giá trị đơn hàng > 20 triệu,5919100,6511010,118382,Giá trị đơn hàng từ 10-20 triệu,6421200,7063320,359587.2,Máy lọc nước Empire nóng nguội lạnh - Block - 11 cấp lọc EPML066,"
• Thương hiệu: EMPIRE 
• Hệ thống cấp lọc: 11 cấp 
• Công suất lọc: 10-15 Lít/ Giờ 
• Màng lọc: RO Dupon nhập khẩu từ Mỹ 
• Bổ sung: các lõi lọc tạo khoáng giúp nước ngon, ngọt hơn đặc biệt lõi lọc ORP và Hydrogen giúp tăng oxi hóa và giải độc tố trong cơ thể chậm lão hóa 
• Công nghệ làm lạnh: sử dụng Blog làm lạnh bằng gas lạnh nhanh, và sâu nhiệt độ ~10 độ C 
• Công nghệ làm nóng: Điện trở đốt bán dẫn dung tích 2 lít nhiệt độ nóng ~ 90 độ C 
• Điện áp: 220v/60hz 
• Công suất máy lọc: 36w 
• Công suất làm nóng: 550w 
• Công suất làm lạnh: 80W
giá: 7063320",7063320,15
62,/input/mobile_images/2024/2/17/775/MÁY LỌC NƯỚC  KAROFI KAQ-U06V.png,577811,Máy lọc nước,M&EGD000031,,,,,,,,,,,,Máy lọc nước Karofi KAQ-U06V,"
• Kiểu lắp đặt: Lắp âm 
• Loại máy: Máy lọc nước RO 
• Công nghệ lọc: Thẩm thấu ngược RO 
• Kháng khuẩn: Nano Silver 
• Dung tích bình chứa: 5 lít 
• Tỉ lệ lọc - thải: Lọc 5 - Thải 5 
• Công suất lọc: 20 lít/giờ 
• Công suất tiêu thụ điện trung bình khoảng: 0.025 kW/h 
• Áp lực nước yêu cầu: 21 - 414 kPa 
• Thương hiệu của: Việt Nam
giá: 4043160",4043160,14
57,/input/mobile_images/2024/2/18/542/MÁY LỌC NƯỚC A. O. SMITH C1.png,577842,Máy lọc nước,M&EGD000027,,,,,,,,,,,,Máy Lọc Nước A. O. Smith C1,"
• Loại máy: Máy lọc nước RO, Để bàn 
• Số lõi lọc: 4 lõi 
• Dung tích bình chứa: 5 lít 
• Tỷ lệ lọc - thải: Lọc 5 - Thải 5 (Tỷ lệ này phụ thuộc vào chất lượng nước đầu vào) 
• Công suất tiêu thụ điện trung bình: 0.048 kW/h 
• Tiện ích: - Chế độ cút nối nhanh dễ dàng thay lõi - Ngừng hoạt động khi nước đầy bình - Ngừng hoạt động khi áp lực nước thấp - Tự động xả nước thải 
• Thương hiệu của: Mỹ
giá: 5822190",5822190,36
56,/input/mobile_images/2023/12/28/686/MÁY NƯỚC NÓNG  NĂNG LƯỢNG MẶT TRỜI EMPIRE.png,509171,Máy lọc nước,M&EGD000224,5002900,5503190,50029,Giá trị đơn hàng > 20 triệu,5117200,5628920,102344,Giá trị đơn hàng từ 10-20 triệu,5551200,6106320,310867.2,Máy NLMT Empire 180 Lít Titan M&EGD000224,"
• Thương hiệu: EMPIRE 
• Số ống: 18 ống 
• Dung tích: 180 lít 
• Bình bảo ôn: Chất liệu Inox 304 
• Vỏ bảo ôn: Chất liệu Inox 
• Lớp Foam giữ nhiệt: Polyurethane độ dày 50mm được phun áp lực cao giúp bình giữ nhiệt lên đến 71 giờ. 
• Khung đỡ: Chất liệu inox 
• Số người sử dụng: 5-6 người 
• Sản xuất theo công nghệ tiêu chuẩn Mỹ. 
• Hướng lắp đặt: Hướng nam 
• Nguồn nước sử dụng: Nước đã qua xử lý và không bị nhiễm phèn.
giá: 6106320",6106320,10
58,/input/mobile_images/2024/2/18/537/MÁY LỌC NƯỚC EMPIRE EPML038.png,577879,Máy lọc nước,M&EGD000220,3727200,4099920,37272,Giá trị đơn hàng > 20 triệu,3812300,4193530,76246,Giá trị đơn hàng từ 10-20 triệu,4135700,4549270,231599.2,Máy lọc nước Empire Nóng Nguội - 10 cấp lọc EPML038,"
• Dòng máy: Empire Pro nóng nguội 
• Hình dáng: Máy lọc nước tủ đứng 
• Số lõi lọc: 10 lõi lọc 
• Công nghệ lọc: Công nghệ lọc RO 
• Công suất lọc nước: 10 – 15 lít/giờ 
• Dung tích bình chứa: Tổng 12 lít (Nước thường 10 lít, nước nóng 2 lít) 
• Công suất tiêu thụ điện: Tổng 0.55 kW/h 
• Nhiệt độ: Nóng 98 độ C 
• Kích thước: Cao 112.5 cm – Ngang 43.2 – Rộng 35 cm 
• Trọng lượng: 21.5 Kg 
• Bơm và van điều tiết: Hệ thống bơm – hút 2 chiều, van điện từ 
• Tiện ích: Có nước nóng, 1 vòi 2 chế độ nước 
• Chất liệu: Thép hợp kim
giá: 4549270",4549270,24
